#Vbias[v]		risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5 				94.642 					1.35320		168.99 						0.44689
10 				50.281 					0.63036		47.966 						0.16350 	
15				37.144					0.38022 	32.465 						0.10677
20 				34.425					0.35289		29.069 						0.09829
25 				32.985					0.31960		27.313 						0.09192
30 				31.694                  0.34572		25.960 						0.08876			
35 				32.717					0.32201		25.377 						0.08589
40				30.868      			0.30732		24.394 						0.08314			
45 				30.041					0.29206		23.905 						0.08082				
50 				29.258					0.27849		23.303 						0.07929				
55 				29.078					0.30360		23.015 						0.07758				
60 				28.969					0.27582		22.715 						0.07657				
63.4 			28.330 					0.28809		22.385 						0.07565 		
